;Plaats_Op_Lijst;Kandidaat;Geslacht;# stemmen partij;# stemmen kandidaat;Partij;Zetels;Peiling;Aantal Mannen;Aantal Vrouwen;Man_stem_percentage;Vrouw_stem_percentage;Max_Vrouwen_Volgens_Peilingen;Gekozen;aantal mannen
128;39;S.J. (Simone) Kennedy-Doornbos;V;294586;175;ChristenUnie;5;5;36;14;37;63;5;0.0;36
129;40;A.J. (Arne) Schaddelee;M;294586;168;ChristenUnie;5;5;36;14;37;63;5;0.0;36
130;41;A. (André) Oldenkamp;M;294586;103;ChristenUnie;5;5;36;14;37;63;5;0.0;36
131;42;J.J. (Jaap) van Ginkel;M;294586;145;ChristenUnie;5;5;36;14;37;63;5;0.0;36
132;43;B. (Bart) Jaspers Faijer;M;294586;265;ChristenUnie;5;5;36;14;37;63;5;0.0;36
133;44;E.W. (Ed) Anker;M;294586;225;ChristenUnie;5;5;36;14;37;63;5;0.0;36
134;45;J.A. (Jantien) Fröling-Kok;V;294586;184;ChristenUnie;5;5;36;14;37;63;5;0.0;36
135;46;F.J. (Freek) Dommerholt;M;294586;202;ChristenUnie;5;5;36;14;37;63;5;0.0;36
136;47;F.C. (Frank) Visser;M;294586;245;ChristenUnie;5;5;36;14;37;63;5;0.0;36
137;48;D.G. (Dick) Schutte;M;294586;141;ChristenUnie;5;5;36;14;37;63;5;0.0;36
138;49;O.E. (Orlando) Bottenbley;M;294586;2333;ChristenUnie;5;5;36;14;37;63;5;0.0;36
139;50;A. (Arie) van der Veer;M;294586;1929;ChristenUnie;5;5;36;14;37;63;5;0.0;36
140;1;A. (Alexander) Pechtold;M;757091;586454;D66;12;11;32;17;58;42;11;1.0;32
141;2;S. (Stientje) van Veldhoven-van der Meer;V;757091;71170;D66;12;11;32;17;58;42;11;1.0;32
142;3;W. (Wouter) Koolmees;M;757091;10413;D66;12;11;32;17;58;42;11;1.0;32
143;4;K. (Kees) Verhoeven;M;757091;3594;D66;12;11;32;17;58;42;11;1.0;32
144;5;V.A. (Vera) Bergkamp;V;757091;15387;D66;12;11;32;17;58;42;11;1.0;32
145;6;A.G. (Gerard) Schouw;M;757091;1435;D66;12;11;32;17;58;42;11;1.0;32
146;7;P.H. (Paul) van Meenen;M;757091;1802;D66;12;11;32;17;58;42;11;1.0;32
147;8;S.P.R.A. (Steven) van Weyenberg;M;757091;989;D66;12;11;32;17;58;42;11;1.0;32
148;9;P.A. (Pia) Dijkstra;V;757091;24886;D66;12;11;32;17;58;42;11;1.0;32
149;10;M.A. (Magda) Berndsen-Jansen;V;757091;2472;D66;12;11;32;17;58;42;11;1.0;32
150;11;S.W. (Sjoerd Wiemer) Sjoerdsma;M;757091;1569;D66;12;11;32;17;58;42;11;1.0;32
151;12;W. (Wassila) Hachchi;V;757091;4737;D66;12;11;32;17;58;42;11;1.0;32
152;13;J.C.M. (Judith) Swinkels;V;757091;2151;D66;12;11;32;17;58;42;11;0.0;32
153;14;S. (Salima) Belhaj;V;757091;2345;D66;12;11;32;17;58;42;11;0.0;32
154;15;M. (Maarten) Groothuizen;M;757091;1264;D66;12;11;32;17;58;42;11;0.0;32
155;16;M. (Michiel) Verkoulen;M;757091;1086;D66;12;11;32;17;58;42;11;0.0;32
156;17;F.M. (Femke) Dingemans;V;757091;1903;D66;12;11;32;17;58;42;11;0.0;32
157;18;T. (Ton) Monasso;M;757091;510;D66;12;11;32;17;58;42;11;0.0;32
158;19;J.C.M. (Jacqueline) Versteeg;V;757091;811;D66;12;11;32;17;58;42;11;0.0;32
159;20;P.J.L.M. (Paul) de Beer;M;757091;890;D66;12;11;32;17;58;42;11;0.0;32
160;21;T. (Thessa) van der Windt;V;757091;838;D66;12;11;32;17;58;42;11;0.0;32
161;22;B.L. (Bart) Vink;M;757091;485;D66;12;11;32;17;58;42;11;0.0;32
162;23;G. (Gökhan) Çoban;M;757091;1625;D66;12;11;32;17;58;42;11;0.0;32
163;24;E.J. (Eelco) Keij;M;757091;1620;D66;12;11;32;17;58;42;11;0.0;32
164;25;G.J.P.M. (Guido) Corten;M;757091;1252;D66;12;11;32;17;58;42;11;0.0;32
165;26;F.C. (Frank) van Oirschot;M;757091;214;D66;12;11;32;17;58;42;11;0.0;32
166;27;S. (Sina) Salim;M;757091;377;D66;12;11;32;17;58;42;11;0.0;32
